,champion,op_score
0,빅토르,54.57
1,벡스,54.39
2,트위스티드 페이트,54.22
3,제드,54.19
4,카타리나,53.72
5,카사딘,53.59
6,르블랑,53.04
7,사일러스,52.86
8,아크샨,52.40
9,탈론,52.18
10,아우렐리온 솔,51.67
11,애니비아,51.58
12,리산드라,51.57
13,판테온,51.28
14,야스오,50.68
15,요네,50.63
16,럭스,50.37
17,아리,50.32
18,럼블,50.29
19,애니,50.09
20,트린다미어,49.95
21,갈리오,49.71
22,카시오페아,49.70
23,베이가,49.57
24,아칼리,49.50
25,코르키,49.32
26,키아나,49.21
27,피즈,49.11
28,조이,49.03
29,블라디미르,48.32
30,말파이트,48.25
31,신지드,48.12
32,누누와 윌럼프,47.89
33,말자하,47.83
34,에코,47.75
35,레넥톤,47.63
36,신드라,47.44
37,제라스,47.24
38,오리아나,47.02
39,다이애나,46.68
40,이렐리아,46.39
41,세트,45.58
42,그레이브즈,44.90
43,제이스,44.78
44,아지르,43.76
45,비에고,42.97
46,아트록스,42.59
47,라이즈,42.38
48,루시안,40.57
